model,method,idx,pointing_hit,energy_inside
resnet18,eigencam,50,0.0,0.4245122969150543
resnet18,eigencam,51,0.0,0.3932194411754608
resnet18,eigencam,52,0.0,0.2542862296104431
resnet18,eigencam,53,1.0,0.39560288190841675
resnet18,eigencam,54,0.0,0.22276361286640167
resnet18,eigencam,55,0.0,0.2496664971113205
resnet18,eigencam,56,0.0,0.4122213125228882
resnet18,eigencam,57,0.0,0.3425002694129944
resnet18,eigencam,58,0.0,0.23177963495254517
resnet18,eigencam,59,1.0,0.4863363206386566
resnet18,eigencam,60,0.0,0.013330389745533466
resnet18,eigencam,61,0.0,0.38384249806404114
resnet18,eigencam,62,0.0,0.3861413896083832
resnet18,eigencam,63,1.0,0.49348896741867065
resnet18,eigencam,64,1.0,0.4617757797241211
resnet18,eigencam,65,1.0,0.4025475084781647
resnet18,eigencam,66,0.0,0.39166879653930664
resnet18,eigencam,67,1.0,0.5826311707496643
resnet18,eigencam,68,1.0,0.5297778844833374
resnet18,eigencam,69,0.0,0.3943708837032318
resnet18,eigencam,70,0.0,0.4024028182029724
resnet18,eigencam,71,1.0,0.42113831639289856
resnet18,eigencam,72,1.0,0.3464828431606293
resnet18,eigencam,73,1.0,0.44427502155303955
resnet18,eigencam,74,0.0,0.2782858610153198
resnet18,eigencam,75,1.0,0.4275154769420624
resnet18,eigencam,76,0.0,0.33952945470809937
resnet18,eigencam,77,1.0,0.4388221502304077
resnet18,eigencam,78,0.0,0.2620954215526581
resnet18,eigencam,79,0.0,0.3379027843475342
resnet18,eigencam,80,0.0,0.018741680309176445
resnet18,eigencam,81,0.0,0.24085617065429688
resnet18,eigencam,82,1.0,0.25071975588798523
resnet18,eigencam,83,1.0,0.3216980993747711
resnet18,eigencam,84,1.0,0.3905816078186035
resnet18,eigencam,85,1.0,0.3860880434513092
resnet18,eigencam,86,1.0,0.2834155261516571
resnet18,eigencam,87,1.0,0.5906979441642761
resnet18,eigencam,88,1.0,0.3977905809879303
resnet18,eigencam,89,1.0,0.595088005065918
resnet18,eigencam,90,1.0,0.6807700395584106
resnet18,eigencam,91,1.0,0.726983368396759
resnet18,eigencam,92,1.0,0.7821476459503174
resnet18,eigencam,93,0.0,0.35486066341400146
resnet18,eigencam,94,1.0,0.3937903940677643
resnet18,eigencam,95,1.0,0.39477041363716125
resnet18,eigencam,96,0.0,0.2934976816177368
resnet18,eigencam,97,1.0,0.30103588104248047
resnet18,eigencam,98,1.0,0.2550314664840698
resnet18,eigencam,99,1.0,0.2999645173549652
resnet18,eigencam,100,1.0,0.2563770115375519
resnet18,eigencam,101,1.0,0.3857755661010742
resnet18,eigencam,102,1.0,0.2901712656021118
resnet18,eigencam,103,0.0,0.05116427689790726
resnet18,eigencam,104,0.0,0.26446038484573364
resnet18,eigencam,105,0.0,0.2605532109737396
resnet18,eigencam,106,0.0,0.028074823319911957
resnet18,eigencam,107,0.0,0.17719987034797668
resnet18,eigencam,108,1.0,0.45742374658584595
resnet18,eigencam,109,0.0,0.45991241931915283
resnet18,eigencam,110,0.0,0.5528355836868286
resnet18,eigencam,111,1.0,0.22084736824035645
resnet18,eigencam,112,0.0,0.5627319812774658
resnet18,eigencam,113,1.0,0.6549697518348694
resnet18,eigencam,114,0.0,0.029343923553824425
resnet18,eigencam,115,0.0,0.3542453348636627
resnet18,eigencam,116,1.0,0.6931460499763489
resnet18,eigencam,117,0.0,0.41840025782585144
resnet18,eigencam,118,1.0,0.5997381210327148
resnet18,eigencam,119,1.0,0.5974635481834412
resnet18,eigencam,120,1.0,0.22931143641471863
resnet18,eigencam,121,1.0,0.2679917812347412
resnet18,eigencam,122,0.0,0.2398400455713272
resnet18,eigencam,123,1.0,0.6065866947174072
resnet18,eigencam,124,1.0,0.39681366086006165
resnet18,eigencam,125,1.0,0.48100629448890686
resnet18,eigencam,126,1.0,0.42260488867759705
resnet18,eigencam,127,0.0,0.4293612837791443
resnet18,eigencam,128,0.0,0.27931493520736694
resnet18,eigencam,129,1.0,0.4995502531528473
resnet18,eigencam,130,1.0,0.45029744505882263
resnet18,eigencam,131,1.0,0.2955329418182373
resnet18,eigencam,132,0.0,3.0586747016059235e-05
resnet18,eigencam,133,0.0,0.3036389648914337
resnet18,eigencam,134,0.0,0.01208216417580843
resnet18,eigencam,135,1.0,0.24338063597679138
resnet18,eigencam,136,1.0,0.31325557827949524
resnet18,eigencam,137,1.0,0.27830010652542114
resnet18,eigencam,138,0.0,0.37822577357292175
resnet18,eigencam,139,0.0,0.43375685811042786
resnet18,eigencam,140,1.0,0.3887220025062561
resnet18,eigencam,141,0.0,0.3523697555065155
resnet18,eigencam,142,0.0,0.3488907516002655
resnet18,eigencam,143,1.0,0.36425769329071045
resnet18,eigencam,144,1.0,0.41331207752227783
resnet18,eigencam,145,1.0,0.4880043566226959
resnet18,eigencam,146,1.0,0.43303486704826355
resnet18,eigencam,147,0.0,0.3638147711753845
resnet18,eigencam,148,1.0,0.3474447727203369
resnet18,eigencam,149,0.0,0.3736148774623871
resnet18,scorecam,0,1.0,0.24745075404644012
resnet18,scorecam,1,0.0,0.10612063854932785
resnet18,scorecam,2,0.0,0.044001348316669464
resnet18,scorecam,3,1.0,0.3026696741580963
resnet18,scorecam,4,1.0,0.31029990315437317
resnet18,scorecam,5,0.0,0.209520623087883
resnet18,scorecam,6,1.0,0.30521467328071594
resnet18,scorecam,7,0.0,0.2668114900588989
resnet18,scorecam,8,1.0,0.2780172824859619
resnet18,scorecam,9,0.0,0.28993210196495056
resnet18,scorecam,10,1.0,0.2973877787590027
resnet18,scorecam,11,0.0,0.3393387198448181
resnet18,scorecam,12,0.0,0.18687623739242554
resnet18,scorecam,13,1.0,0.21607226133346558
resnet18,scorecam,14,1.0,0.3340127468109131
resnet18,scorecam,15,1.0,0.26974722743034363
resnet18,scorecam,16,0.0,0.27270442247390747
resnet18,scorecam,17,0.0,0.19947251677513123
resnet18,scorecam,18,1.0,0.2502613961696625
resnet18,scorecam,19,1.0,0.24364426732063293
resnet18,scorecam,20,0.0,0.28044575452804565
resnet18,scorecam,21,0.0,0.17464664578437805
resnet18,scorecam,22,0.0,0.16770386695861816
resnet18,scorecam,23,0.0,0.17599883675575256
resnet18,scorecam,24,0.0,0.09572045505046844
resnet18,scorecam,25,1.0,0.1588505208492279
resnet18,scorecam,26,1.0,0.16425009071826935
resnet18,scorecam,27,1.0,0.22610022127628326
resnet18,scorecam,28,0.0,0.23087918758392334
resnet18,scorecam,29,1.0,0.24746623635292053
resnet18,scorecam,30,0.0,0.2566259205341339
resnet18,scorecam,31,0.0,0.17635414004325867
resnet18,scorecam,32,1.0,0.2053011804819107
resnet18,scorecam,33,1.0,0.19144101440906525
resnet18,scorecam,34,1.0,0.18512913584709167
resnet18,scorecam,35,1.0,0.2306237816810608
resnet18,scorecam,36,0.0,0.43627268075942993
resnet18,scorecam,37,0.0,0.35889092087745667
resnet18,scorecam,38,0.0,0.2806382477283478
resnet18,scorecam,39,1.0,0.32107219099998474
resnet18,scorecam,40,0.0,0.2541775405406952
resnet18,scorecam,41,1.0,0.3156713545322418
resnet18,scorecam,42,1.0,0.37450799345970154
resnet18,scorecam,43,1.0,0.40511199831962585
resnet18,scorecam,44,0.0,0.35207441449165344
resnet18,scorecam,45,1.0,0.2827122211456299
resnet18,scorecam,46,1.0,0.32939133048057556
resnet18,scorecam,47,0.0,0.3306296169757843
resnet18,scorecam,48,0.0,0.3563767969608307
resnet18,scorecam,49,0.0,0.39251771569252014
mobilenetv3,gradcam++,0,1.0,0.34037262201309204
mobilenetv3,gradcam++,1,0.0,0.22062239050865173
mobilenetv3,gradcam++,2,0.0,0.2796909511089325
mobilenetv3,gradcam++,3,1.0,0.39088764786720276
mobilenetv3,gradcam++,4,1.0,0.3844243586063385
mobilenetv3,gradcam++,5,1.0,0.3190508782863617
mobilenetv3,gradcam++,6,0.0,0.4027804136276245
mobilenetv3,gradcam++,7,1.0,0.35251879692077637
mobilenetv3,gradcam++,8,0.0,0.3809627592563629
mobilenetv3,gradcam++,9,1.0,0.3754761815071106
mobilenetv3,gradcam++,10,1.0,0.3662456274032593
mobilenetv3,gradcam++,11,0.0,0.3705649673938751
mobilenetv3,gradcam++,12,1.0,0.3342325985431671
mobilenetv3,gradcam++,13,1.0,0.3074590265750885
mobilenetv3,gradcam++,14,1.0,0.38551363348960876
mobilenetv3,gradcam++,15,1.0,0.3324357569217682
mobilenetv3,gradcam++,16,1.0,0.31687214970588684
mobilenetv3,gradcam++,17,1.0,0.28937265276908875
mobilenetv3,gradcam++,18,1.0,0.29603639245033264
mobilenetv3,gradcam++,19,0.0,0.2801041901111603
mobilenetv3,gradcam++,20,1.0,0.3109387159347534
mobilenetv3,gradcam++,21,0.0,0.16819430887699127
mobilenetv3,gradcam++,22,0.0,0.2004300057888031
mobilenetv3,gradcam++,23,0.0,0.18866048753261566
mobilenetv3,gradcam++,24,1.0,0.18765789270401
mobilenetv3,gradcam++,25,1.0,0.2245757281780243
mobilenetv3,gradcam++,26,0.0,0.1750275045633316
mobilenetv3,gradcam++,27,1.0,0.4552665054798126
mobilenetv3,gradcam++,28,0.0,0.3077198266983032
mobilenetv3,gradcam++,29,1.0,0.49075257778167725
mobilenetv3,gradcam++,30,1.0,0.3312901556491852
mobilenetv3,gradcam++,31,1.0,0.24206098914146423
mobilenetv3,gradcam++,32,1.0,0.30013954639434814
mobilenetv3,gradcam++,33,1.0,0.27239468693733215
mobilenetv3,gradcam++,34,1.0,0.2789866626262665
mobilenetv3,gradcam++,35,1.0,0.3350018560886383
mobilenetv3,gradcam++,36,0.0,0.49889227747917175
mobilenetv3,gradcam++,37,1.0,0.5453713536262512
mobilenetv3,gradcam++,38,0.0,0.36488211154937744
mobilenetv3,gradcam++,39,1.0,0.3649812936782837
mobilenetv3,gradcam++,40,1.0,0.3724139630794525
mobilenetv3,gradcam++,41,1.0,0.40777280926704407
mobilenetv3,gradcam++,42,0.0,0.39422982931137085
mobilenetv3,gradcam++,43,1.0,0.5141633749008179
mobilenetv3,gradcam++,44,0.0,0.5225952863693237
mobilenetv3,gradcam++,45,0.0,0.4276614785194397
mobilenetv3,gradcam++,46,0.0,0.4322948753833771
mobilenetv3,gradcam++,47,1.0,0.46533793210983276
mobilenetv3,gradcam++,48,0.0,0.46412256360054016
mobilenetv3,gradcam++,49,0.0,0.4935498833656311
mobilenetv3,gradcam++,50,0.0,0.476583331823349
mobilenetv3,gradcam++,51,1.0,0.4214845597743988
mobilenetv3,gradcam++,52,1.0,0.518261730670929
mobilenetv3,gradcam++,53,0.0,0.4483804404735565
mobilenetv3,gradcam++,54,1.0,0.3196873068809509
mobilenetv3,gradcam++,55,1.0,0.5274720191955566
mobilenetv3,gradcam++,56,1.0,0.3949355483055115
mobilenetv3,gradcam++,57,0.0,0.3464336395263672
mobilenetv3,gradcam++,58,0.0,0.3621993958950043
mobilenetv3,gradcam++,59,0.0,0.27556508779525757
mobilenetv3,gradcam++,60,1.0,0.3117724359035492
mobilenetv3,gradcam++,61,1.0,0.5584720373153687
mobilenetv3,gradcam++,62,1.0,0.557431161403656
mobilenetv3,gradcam++,63,1.0,0.43230143189430237
mobilenetv3,gradcam++,64,1.0,0.40246766805648804
mobilenetv3,gradcam++,65,0.0,0.30178922414779663
mobilenetv3,gradcam++,66,1.0,0.44418570399284363
mobilenetv3,gradcam++,67,1.0,0.3329087495803833
mobilenetv3,gradcam++,68,0.0,0.4415633976459503
mobilenetv3,gradcam++,69,1.0,0.4458797574043274
mobilenetv3,gradcam++,70,1.0,0.44541317224502563
mobilenetv3,gradcam++,71,1.0,0.37108728289604187
mobilenetv3,gradcam++,72,0.0,0.32459837198257446
mobilenetv3,gradcam++,73,1.0,0.3153012990951538
mobilenetv3,gradcam++,74,0.0,0.32851558923721313
mobilenetv3,gradcam++,75,1.0,0.3167612552642822
mobilenetv3,gradcam++,76,0.0,0.32739901542663574
mobilenetv3,gradcam++,77,1.0,0.3090704381465912
mobilenetv3,gradcam++,78,0.0,0.30146461725234985
mobilenetv3,gradcam++,79,1.0,0.3657228350639343
mobilenetv3,gradcam++,80,0.0,0.45280924439430237
mobilenetv3,gradcam++,81,1.0,0.2946663796901703
mobilenetv3,gradcam++,82,1.0,0.36120668053627014
mobilenetv3,gradcam++,83,1.0,0.36722686886787415
mobilenetv3,gradcam++,84,1.0,0.3908533453941345
mobilenetv3,gradcam++,85,1.0,0.4542129635810852
mobilenetv3,gradcam++,86,1.0,0.5101503133773804
mobilenetv3,gradcam++,87,1.0,0.49255380034446716
mobilenetv3,gradcam++,88,1.0,0.4258660674095154
mobilenetv3,gradcam++,89,1.0,0.42819634079933167
mobilenetv3,gradcam++,90,0.0,0.5601869821548462
mobilenetv3,gradcam++,91,1.0,0.6376174092292786
mobilenetv3,gradcam++,92,1.0,0.7550051212310791
mobilenetv3,gradcam++,93,1.0,0.3758254647254944
mobilenetv3,gradcam++,94,0.0,0.5205987691879272
mobilenetv3,gradcam++,95,1.0,0.5289943218231201
mobilenetv3,gradcam++,96,0.0,0.22661961615085602
mobilenetv3,gradcam++,97,0.0,0.21906550228595734
mobilenetv3,gradcam++,98,0.0,0.17805267870426178
mobilenetv3,gradcam++,99,1.0,0.2721756398677826
mobilenetv3,gradcam++,100,1.0,0.28378838300704956
mobilenetv3,gradcam++,101,1.0,0.3436548709869385
mobilenetv3,gradcam++,102,0.0,0.25707730650901794
mobilenetv3,gradcam++,103,1.0,0.3577381670475006
mobilenetv3,gradcam++,104,1.0,0.2696900963783264
mobilenetv3,gradcam++,105,0.0,0.20327305793762207
mobilenetv3,gradcam++,106,0.0,0.35805997252464294
mobilenetv3,gradcam++,107,0.0,0.363068550825119
mobilenetv3,gradcam++,108,0.0,0.46213632822036743
mobilenetv3,gradcam++,109,0.0,0.4434039890766144
mobilenetv3,gradcam++,110,0.0,0.507779061794281
mobilenetv3,gradcam++,111,1.0,0.5605567097663879
mobilenetv3,gradcam++,112,1.0,0.5713844895362854
mobilenetv3,gradcam++,113,1.0,0.5142049789428711
mobilenetv3,gradcam++,114,1.0,0.6402091383934021
mobilenetv3,gradcam++,115,1.0,0.6236408352851868
mobilenetv3,gradcam++,116,1.0,0.5767823457717896
mobilenetv3,gradcam++,117,1.0,0.703914225101471
mobilenetv3,gradcam++,118,1.0,0.5822372436523438
mobilenetv3,gradcam++,119,1.0,0.7721052765846252
mobilenetv3,gradcam++,120,0.0,0.2714332044124603
mobilenetv3,gradcam++,121,1.0,0.2958126962184906
mobilenetv3,gradcam++,122,1.0,0.29195767641067505
mobilenetv3,gradcam++,123,1.0,0.5469909906387329
mobilenetv3,gradcam++,124,1.0,0.7770906686782837
mobilenetv3,gradcam++,125,1.0,0.6931943893432617
mobilenetv3,gradcam++,126,1.0,0.591360330581665
mobilenetv3,gradcam++,127,1.0,0.6223161220550537
mobilenetv3,gradcam++,128,1.0,0.6215497255325317
mobilenetv3,gradcam++,129,1.0,0.4506179094314575
mobilenetv3,gradcam++,130,1.0,0.3604273498058319
mobilenetv3,gradcam++,131,1.0,0.35589513182640076
mobilenetv3,gradcam++,132,1.0,0.62835294008255
mobilenetv3,gradcam++,133,1.0,0.4126126766204834
mobilenetv3,gradcam++,134,1.0,0.6358345746994019
mobilenetv3,gradcam++,135,1.0,0.2892206609249115
mobilenetv3,gradcam++,136,0.0,0.15106241405010223
mobilenetv3,gradcam++,137,1.0,0.28799358010292053
mobilenetv3,gradcam++,138,0.0,0.4361332952976227
mobilenetv3,gradcam++,139,0.0,0.4427735209465027
mobilenetv3,gradcam++,140,1.0,0.45215630531311035
mobilenetv3,gradcam++,141,0.0,0.4143529236316681
mobilenetv3,gradcam++,142,1.0,0.41110774874687195
mobilenetv3,gradcam++,143,0.0,0.40356209874153137
mobilenetv3,gradcam++,144,1.0,0.3848506808280945
mobilenetv3,gradcam++,145,1.0,0.47038426995277405
mobilenetv3,gradcam++,146,1.0,0.46043941378593445
mobilenetv3,gradcam++,147,1.0,0.378069132566452
mobilenetv3,gradcam++,148,1.0,0.37651127576828003
mobilenetv3,gradcam++,149,1.0,0.37805286049842834
mobilenetv3,eigencam,0,1.0,0.4351121187210083
mobilenetv3,eigencam,1,0.0,0.004861060529947281
mobilenetv3,eigencam,2,0.0,0.43882548809051514
mobilenetv3,eigencam,3,1.0,0.4618467688560486
mobilenetv3,eigencam,4,1.0,0.47747084498405457
mobilenetv3,eigencam,5,1.0,0.41237151622772217
mobilenetv3,eigencam,6,0.0,0.5148572325706482
mobilenetv3,eigencam,7,1.0,0.45775914192199707
mobilenetv3,eigencam,8,0.0,0.5149040818214417
mobilenetv3,eigencam,9,0.0,0.09478388726711273
mobilenetv3,eigencam,10,0.0,0.13032180070877075
mobilenetv3,eigencam,11,0.0,0.4436016380786896
mobilenetv3,eigencam,12,1.0,0.4941112995147705
mobilenetv3,eigencam,13,1.0,0.4390011131763458
mobilenetv3,eigencam,14,1.0,0.46669429540634155
mobilenetv3,eigencam,15,1.0,0.4564654529094696
mobilenetv3,eigencam,16,1.0,0.4215279817581177
mobilenetv3,eigencam,17,1.0,0.38918259739875793
