model,method,image,deletion_auc,insertion_auc
resnet18,gradcam++,7021-249.jpg,0.2833941876888275,0.8237138390541077
resnet18,gradcam++,7021-26.jpg,0.3309117555618286,0.880482017993927
resnet18,gradcam++,7021-29.jpg,0.39018863439559937,0.9108927249908447
resnet18,gradcam++,7021-81.jpg,0.03608044609427452,0.7897758483886719
resnet18,gradcam++,7022-111.jpg,0.22425374388694763,0.5050856471061707
resnet18,gradcam++,7022-147.jpg,0.3026251196861267,0.7163662314414978
resnet18,gradcam++,7022-39.jpg,0.29996058344841003,0.7921141386032104
resnet18,gradcam++,7022-41.jpg,0.47853606939315796,0.7193847298622131
resnet18,gradcam++,7023-37.jpg,0.22707431018352509,0.7993085384368896
resnet18,gradcam++,7024-112.jpg,0.3124532997608185,0.7949168682098389
resnet18,gradcam++,7024-12.jpg,0.10240571945905685,0.8576514720916748
resnet18,gradcam++,7024-129.jpg,0.4304129183292389,0.8601354360580444
resnet18,gradcam++,7024-29.jpg,0.08599642664194107,0.9375232458114624
resnet18,gradcam++,7024-64.jpg,0.30966126918792725,0.813030481338501
resnet18,gradcam++,7025-113.jpg,0.20232558250427246,0.8791606426239014
resnet18,gradcam++,7025-128.jpg,0.43293219804763794,0.9048559665679932
resnet18,gradcam++,7025-81.jpg,0.1774284392595291,0.8300080299377441
resnet18,gradcam++,7026-113.jpg,0.40950843691825867,0.727865993976593
resnet18,gradcam++,7026-170.jpg,0.08999242633581161,0.6693757772445679
resnet18,gradcam++,7026-221.jpg,0.30929163098335266,0.872207522392273
resnet18,gradcam++,7026-57.jpg,0.18985533714294434,0.6931405067443848
resnet18,gradcam++,7026-86.jpg,0.15223878622055054,0.6905142068862915
resnet18,gradcam++,7027-147.jpg,0.24421624839305878,0.5461871027946472
resnet18,eigencam,7001-2.jpg,0.2080148160457611,0.8458642363548279
resnet18,eigencam,7001-26.jpg,0.12801483273506165,0.7842623591423035
resnet18,eigencam,7002-33.jpg,0.225027397274971,0.8869751691818237
resnet18,eigencam,7002-48.jpg,0.3426923155784607,0.9348549842834473
resnet18,eigencam,7004-143.jpg,0.3260442316532135,0.923967182636261
resnet18,eigencam,7004-197.jpg,0.23092345893383026,0.8301337361335754
resnet18,eigencam,7004-92.jpg,0.13547158241271973,0.860299825668335
resnet18,eigencam,7005-119.jpg,0.17869722843170166,0.8522512912750244
resnet18,eigencam,7005-78.jpg,0.34885162115097046,0.9027501940727234
resnet18,eigencam,7006-134.jpg,0.30706140398979187,0.9584584832191467
resnet18,eigencam,7006-154.jpg,0.30125007033348083,0.8574473261833191
resnet18,eigencam,7006-73.jpg,0.3248820900917053,0.9373804330825806
resnet18,eigencam,7006-77.jpg,0.8944896459579468,0.36478620767593384
resnet18,eigencam,7006-96.jpg,0.2877318263053894,0.8836215734481812
resnet18,eigencam,7007-186.jpg,0.0711214616894722,0.893812358379364
resnet18,eigencam,7008-56.jpg,0.34033945202827454,0.9592380523681641
resnet18,eigencam,7009-114.jpg,0.8651351928710938,0.5515085458755493
resnet18,eigencam,7009-2.jpg,0.11391796916723251,0.3788965344429016
resnet18,eigencam,7009-202.jpg,0.15479899942874908,0.8979893922805786
resnet18,eigencam,7009-47.jpg,0.3280011713504791,0.9489232897758484
